,,,,,,,,,,,,,
Vesicles red Position,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,
Vesicles red Position X,Vesicles red Position Y,Vesicles red Position Z,Unit,Category,Collection,Birth [s],Death [s],CellID,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name
391.112946,-44.854584,-0.663159,µm,Vesicles red, Vesicles red Position,0,1,16,300033997,300058872,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
431.245819,-38.08054,-1.997958,µm,Vesicles red, Vesicles red Position,0,1,17,300033998,300058873,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
431.43573,-37.495735,-1.612018,µm,Vesicles red, Vesicles red Position,0,1,17,300033999,300058874,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
425.123993,-37.554558,0.085662,µm,Vesicles red, Vesicles red Position,0,1,17,300034000,300058875,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
426.892853,-31.176191,-1.086432,µm,Vesicles red, Vesicles red Position,0,1,17,300034001,300058876,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
427.283142,-31.096113,-1.035431,µm,Vesicles red, Vesicles red Position,0,1,17,300034002,300058877,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
58.558006,-27.845013,0.085891,µm,Vesicles red, Vesicles red Position,0,1,18,300034003,300031353,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.858971,-28.272688,0.143797,µm,Vesicles red, Vesicles red Position,0,1,18,300034004,300031354,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
57.137604,-26.857189,0.100653,µm,Vesicles red, Vesicles red Position,0,1,18,300034005,300031355,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
40.81266,-11.616902,1.274529,µm,Vesicles red, Vesicles red Position,0,1,18,300034006,300031356,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.292213,-28.010153,2.053162,µm,Vesicles red, Vesicles red Position,0,1,18,300034007,300031357,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
45.837234,-12.533658,2.889635,µm,Vesicles red, Vesicles red Position,0,1,18,300034008,300031358,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
46.051392,-12.105351,2.894787,µm,Vesicles red, Vesicles red Position,0,1,18,300034009,300031359,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
62.711971,-18.184095,1.658059,µm,Vesicles red, Vesicles red Position,0,1,18,300034010,300031360,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
